"LOCATION_ID","lat","long","classification","EVC","EVH","EVT","HUC_08_ID","hli","soilorder","landform","ocs","cc_pct"
"site_190",59.899079240155,-151.678155188078,0,102,110,3677,19020300,0,3,8000,94,25
"site_191",60.5650003602728,-149.892484066306,0,104,110,3679,19020302,200,16,1000,76,45
"site_192",59.8203868212661,-151.24022648707,0,105,110,3679,19020300,100,3,8000,101,55
"site_193",61.2274180507826,-151.710225043721,0,105,111,3677,19020600,0,16,1000,107,55
"site_194",61.2912882674835,-151.862758978965,0,106,110,3679,19020600,200,16,1000,110,65
"site_195",61.071380685931,-151.218397425666,0,102,110,3677,19020600,0,24,5000,93,25
"site_196",60.8369203967758,-151.82907215581,0,104,110,3679,19020600,0,24,7000,89,45
"site_197",60.2779886269966,-150.467046522028,0,106,109,3677,19020302,0,24,9000,82,65
"site_198",59.961871478515,-150.855118724768,0,105,110,3679,19020300,100,16,7000,94,55
"site_199",59.5069646186369,-151.142669447215,0,104,110,3644,19020300,100,16,1000,81,45
"site_200",61.8480640805807,-152.247866741267,0,106,110,3679,19020504,100,16,3000,105,65
"site_201",59.2072866398546,-151.638000494878,0,104,110,3644,19020300,100,16,7000,79,45
"site_202",60.6019211184501,-150.234203200385,0,105,110,3679,19020302,200,24,7000,92,55
"site_203",61.7510460298958,-151.209504104353,0,105,110,3679,19020504,100,24,7000,101,55
"site_204",60.1726162441694,-152.733226489277,0,109,110,3644,19020602,100,16,1000,91,95
"site_205",60.7946097468938,-150.515555547371,0,103,110,3677,19020302,0,24,6000,73,35
"site_206",61.6405532499491,-150.900393815088,0,101,110,3677,19020504,200,24,6000,98,15
"site_207",62.4080738287008,-152.017718365475,0,105,110,3601,19020504,0,16,4000,95,55
"site_208",59.9346525254062,-150.790170529726,0,108,110,3679,19020300,200,16,7000,86,85
"site_209",61.6532194954552,-151.502983707675,0,101,110,3679,19020504,100,16,8000,94,15
"site_210",62.0399442252687,-151.506217642698,0,107,110,3679,19020504,0,16,6000,87,75
"site_211",61.671275632666,-149.909462225175,0,104,110,3679,19020504,0,24,8000,88,45
"site_212",59.3172404306308,-151.399497786944,0,109,110,3644,19020202,200,16,1000,80,95
"site_213",62.4511929623386,-151.46255951989,0,105,110,3601,19020504,0,16,6000,88,55
"site_214",61.5780305061744,-149.120921068775,0,101,109,3677,19020402,200,24,8000,69,15
"site_215",59.9174048719511,-150.950250313356,0,102,110,3679,19020300,100,16,7000,87,25
"site_216",61.0940182310908,-151.166923959886,0,104,109,3677,19020600,100,24,6000,89,45
